Symbol
RELIANCE
TCS
INFY
HDFCBANK
ICICIBANK
KOTAKBANK
LT
SBIN
HINDUNILVR
ITC
BHARTIARTL
ASIANPAINT
BAJFINANCE
HCLTECH
MARUTI
WIPRO
TECHM
HDFC
SUNPHARMA
ADANIENT
ULTRACEMCO
TITAN
NTPC
ONGC
NESTLEIND
COALINDIA
AXISBANK
POWERGRID
JSWSTEEL
TATAMOTORS
DRREDDY
DIVISLAB
EICHERMOT
BAJAJ-AUTO
BPCL
GRASIM
INDUSINDBK
HINDALCO
TATAPOWER
SBILIFE
BRITANNIA
BAJAJFINSV
CIPLA
SHREECEM
M&M
HDFCLIFE
ICICIPRULI
UPL
GAIL
AMBUJACEM
DABUR
HEROMOTOCO
TATACONSUM
PIDILITIND
ADANIPORTS
SIEMENS
VEDL
DMART
BIOCON
LTI
NAUKRI
HAVELLS
BANKBARODA
BOSCHLTD
LUPIN
CANBK
PNB
PEL
ABB
APOLLOHOSP
MUTHOOTFIN
COLPAL
TVSMOTOR
PAGEIND
INDIGO
UBL
TRENT
TORNTPHARM
AUBANK
BEL
GLAND
CHOLAFIN
IDFCFIRSTB
ICICIGI
IRCTC
CONCOR
BHEL
ADANIGREEN
ADANITRANS
HAL
IRFC
RVNL
CAMS
PERSISTENT
POLYCAB
CROMPTON
ZOMATO
NYKAA
DELHIVERY
TATAELXSI
MFSL
IEX
JSWENERGY
INDHOTEL
VOLTAS
NHPC
SYNGENE
